id,message,intent,reply,judge_relevance,judge_tone,judge_actionability,judge_conciseness,judge_overall,human_relevance,human_tone,human_actionability,human_conciseness,human_overall
1,there is an issue with your music application. 2nd line description doesn’t come sometimes and sometimes it works as below,,"We're sorry to hear the second line description isn't appearing consistently in your music app. Could you share your device model and iOS version so we can investigate further? If you'd like, you can also DM us for more detailed troubleshooting steps.",5,5,5,5,5,5,5,4,5,5
2,Why is it that every time I charge my phone to 100% my Bluetooth is automatically turned on? I’m not a fan.,,We understand your frustration. This behavior might be linked to your device’s settings or charging habits. Let’s troubleshoot—would you like to share more details via DM?,2,5,3,5,3,3,5,3,5,3
3,my iPhone 6 cannot hold a Bluetooth connection to a speaker with iOS 11. Is there another fix imminent?,,"We understand how important a stable Bluetooth connection is. Have you tried restarting your iPhone and the speaker? If the issue persists, feel free to DM us for further assistance.",3,5,4,5,4,4,5,4,5,4
4,"Hi, I’m very upset because my flash isn’t working on my brand new iPhone 8. Could you tell me how to fix this please?",,We're here to help—sorry to hear your iPhone 8's flash isn't working. Could you DM us your country so we can guide you further?,2,5,3,5,3,3,5,2,5,3
5,Dear will there be any bug fixes soon regarding the battery life? IOS11 is #draining my phones life 😭,,"We understand how frustrating battery drain can be. Could you share your device model and iOS version so we can provide tailored guidance? For now, check our battery optimization tips here [link].",3,5,5,5,4,4,5,5,5,5
6,"hi apple, I have 2 Apple id's. How do I change Apple ID accounts on the Apple Watch app and will I lose connection to watch",,"We understand your concern about switching Apple IDs on the Apple Watch app. To help, could you confirm if you'd like to switch the Apple ID associated with your Apple Watch? For further assistance, feel free to DM us.",2,5,2,5,3,2,5,2,4,2
7,"So i have this paid app that I reinstalled and is stuck on the “waiting” status. Did all troubleshooting, still nothing. Damn",,We’re sorry to hear your app is stuck on “waiting” after reinstallation. We’d be happy to help—please send us a DM so we can investigate this further together.,2,5,3,5,3,4,5,3,5,3
8,I can’t sign in on the App Store hello,,"We’re sorry to hear you’re having trouble signing in to the App Store. Have you tried resetting your password or checking for any error messages? If you’d like, we can help troubleshoot via DM.",4,5,4,5,4,4,5,4,5,4
9,The fact that I️ turn my WiFi off and it came come back on when it feels like it is annoying. Fix it 😒,,"We understand how frustrating it can be when Wi-Fi reactivates on its own. Could you let us know if you're using Control Center or Settings to turn Wi-Fi off? This helps us identify the cause. If you'd like, you can DM us for further assistance.",4,5,4,5,4,5,5,4,5,5
10,any update coming to podcasts? Ever since iOS 11 I and my girlfriend have trouble with it,,We’re sorry to hear about the trouble with the Podcasts app since iOS 11. Could you share more details about the specific issue you’re experiencing? Feel free to DM us for further assistance.,2,5,4,5,4,4,5,3,5,4
11,"Dear I have always been a huge fan of your products but currently my iPhone is deleting text conersations, closing Safari tabs, and will not download/install the new update even though it says I have the room to. Please fix this. -Concerned Customer Sent from my Lenovo",,"We’re sorry to hear about the issues you’re experiencing with your iPhone. Could you DM us to share more details so we can help troubleshoot the text deletion, Safari behavior, and update installation problem?",2,5,3,5,3,4,5,3,4,3
12,"My camera freezes, I️ get weird little question marks instead of words, and my apps freeze and crash all the time. Fuck u fix this",,"We're sorry to hear about the camera freezes, unexpected question marks, and app crashes—these aren’t acceptable. Can you DM us your device and OS version so we can investigate further?",4,5,5,5,5,5,5,4,5,5
13,"9:45 in the morning and my phone is already at 54%. Side note, I updated my phone 2 days ago. AND my phone has been lagging.",,We're sorry to hear about the rapid battery drain and lagging performance. Could you DM us your iPhone model and any troubleshooting steps you've tried so far?,5,5,5,5,5,5,5,4,5,4
14,I've been trying to recover my account since October... why hasn't anything happened?,,"We’re sorry to hear you’ve been waiting so long—this isn’t the experience we want for you. Have you tried resetting your password or checking your email for verification steps? If not, let’s get you started.",2,5,2,5,3,3,5,3,5,3
15,my Apple TV sucks. I can’t enter in my password before you telling me you’re down and I can’t sign in. I know my password.,,We're sorry to hear you're having trouble signing in—this is frustrating when you know your password. Let’s get this sorted: could you share more details via Direct Message so we can help?,2,5,3,5,3,4,5,3,5,3
16,Dear lemme tell you what. I️ ain’t playing with this shit no more. When I️ hit the WiFi button I️ expect it to be off. Not disconnect my WiFi and ask me every 5 min IF I️ wanna connect to someone’s booboo ass WiFi. IM TRYNNA SAVE BATTERY B,,"We understand your frustration—when you tap the Wi-Fi button in Control Center, it disconnects rather than turning off, which can be unexpected. Are you seeing this behavior with all Wi-Fi networks, or just specific ones? Let’s troubleshoot via DM to help save battery and reso...",4,5,5,5,5,5,5,4,4,4
17,"I’ve got activation lock on my old iPhone, and it’s not recognising the Apple ID I’m putting in,what do I do? 😩",,"We’re sorry to hear about the activation lock issue. Could you confirm if you’re using the Apple ID associated with this device? If you’re unsure, please DM us for further assistance.",3,5,3,5,4,4,5,3,5,4
18,I have a reservation for the X and can’t get the site to “connect to my carrier” will this be fixed? My time is running out,,We understand your urgency with your reservation. Please DM us and let us know which carrier you're trying to connect with so we can assist further.,2,5,4,5,3,4,5,4,5,4
